time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609331.17974,0,0,0,0,0,0,f
1738609331.184758,-3,0,1,-255,-1593,8066,f
1738609331.189311,-2,2,2,-239,-1544,8071,f
1738609331.1943328,-1,8,2,-233,-1602,8079,f
1738609331.1991382,2,9,5,-213,-1606,8045,f
1738609331.204006,1,10,2,-237,-1574,8080,f
1738609331.2090318,4,11,2,-244,-1556,8069,f
1738609331.214059,6,9,4,-216,-1554,8059,f
1738609331.218581,4,6,0,-205,-1557,8067,f
1738609331.2226949,1,4,-1,-194,-1554,8032,f
1738609331.227537,-6,1,-3,-172,-1523,8109,f
1738609331.231646,-9,-1,0,-183,-1533,8114,f
1738609331.2366562,-11,0,1,-203,-1541,8102,f
1738609331.241675,-13,0,6,-214,-1509,8096,f
1738609331.246699,-18,3,11,-202,-1510,8129,f
1738609331.2510662,-16,4,15,-206,-1504,8178,f
1738609331.255168,-18,5,20,-200,-1491,8187,f
1738609331.259499,-19,5,24,-166,-1489,8184,f
1738609331.263626,-17,7,26,-169,-1467,8248,f
1738609331.267686,-10,8,27,-149,-1479,8199,f
1738609331.271719,-12,9,28,-165,-1508,8185,f
1738609331.276741,-14,11,26,-172,-1518,8182,f
1738609331.2817512,-13,7,23,-202,-1503,8215,f
1738609331.286777,-13,10,22,-200,-1497,8218,f
1738609331.291565,-9,11,15,-214,-1502,8167,f
1738609331.2957811,-7,11,14,-212,-1527,8170,f
1738609331.300792,-7,11,17,-187,-1527,8169,f
1738609331.305813,-2,12,21,-181,-1520,8170,f
1738609331.310838,0,14,23,-226,-1552,8110,f
1738609331.31509,-2,15,27,-240,-1541,8081,f
1738609331.319617,-8,14,33,-244,-1574,8073,f
1738609331.324626,-13,12,34,-243,-1547,8056,f
1738609331.3296452,-15,13,37,-212,-1548,8054,f
1738609331.334796,-16,12,39,-224,-1566,8046,f
1738609331.339689,-21,17,41,-210,-1555,8079,f
1738609331.343819,-21,18,39,-186,-1511,8115,f
1738609331.347852,-20,19,38,-168,-1527,8121,f
1738609331.352862,-21,19,39,-166,-1543,8115,f
1738609331.3578901,-17,18,33,-174,-1530,8132,f
1738609331.362904,-15,19,27,-138,-1543,8095,f
1738609331.367073,-13,20,25,-145,-1489,8082,f
1738609331.371572,-11,19,18,-137,-1513,8101,f
1738609331.37658,-10,20,15,-151,-1511,8094,f
1738609331.381461,-9,21,13,-182,-1490,8080,f
1738609331.386483,-7,23,12,-165,-1489,8079,f
1738609331.391586,-7,21,9,-134,-1236,7951,f
1738609331.395665,-9,12,0,55,-888,7879,f
1738609331.399751,-3,-11,-15,53,-2170,8284,f
1738609331.4040372,-6,-8,-6,-278,-2656,8382,f
1738609331.409051,-21,43,13,-587,-1513,7978,f
1738609331.4140742,-27,83,31,-509,-994,7922,f
1738609331.419088,-19,86,30,-252,-1548,8182,f
1738609331.423512,-5,61,18,161,-1128,8103,f
1738609331.427549,-4,41,4,119,-764,7902,f
1738609331.431765,-5,8,-13,28,-1235,8025,f
1738609331.435877,-6,-9,-23,-41,-1512,8109,f
1738609331.4408908,-6,-14,-27,-26,-1351,8033,f
1738609331.445911,-7,-17,-31,-32,-1468,8117,f
1738609331.4509308,0,-15,-30,-151,-1931,8276,f
1738609331.455703,-1,32,-8,-416,-1578,8185,f
1738609331.459906,-2,54,0,-378,-1333,8188,f
1738609331.463993,4,57,3,-289,-1497,8242,f
1738609331.469013,7,54,2,-223,-1413,8259,f
1738609331.4740381,7,43,-2,-74,-957,8078,f
1738609331.479059,8,16,-9,54,-846,8124,f
1738609331.48418,19,-38,-37,22,-1482,8182,f
1738609331.489202,13,-39,-33,-90,-1322,8069,f
1738609331.494227,11,-37,-27,-114,-1526,8126,f
1738609331.499244,10,-32,-16,-203,-2017,8321,f
1738609331.5036402,-4,20,20,-504,-1678,8194,f
1738609331.5077171,-11,42,36,-482,-1401,8188,f
1738609331.511776,-10,53,48,-354,-1571,8348,f
1738609331.516858,-7,46,53,-291,-1461,8245,f
1738609331.522374,-7,35,55,-120,-1001,8049,f
1738609331.527671,-6,13,48,27,-889,8078,f
1738609331.54718,4,-19,35,86,-1423,8201,f
1738609331.5526268,10,-40,27,17,-1602,8152,f
1738609331.557096,11,-35,24,-50,-1442,8014,f
1738609331.56212,6,-29,27,-137,-1683,8088,f
1738609331.567137,5,-20,31,-255,-2176,8250,f
