time,acc_x,acc_y,acc_z,gyro_pitch,gyro_roll,gyro_yaw,input_freq
1738609390.763534,0,0,0,0,0,0,f
1738609390.76896,0,0,0,0,0,0,f
1738609390.7739909,1,3,7,-195,1001,8185,f
1738609390.779031,2,3,7,-191,1033,8182,f
1738609390.7841349,0,2,7,-201,1026,8138,f
1738609390.788564,1,3,8,-234,1019,8162,f
1738609390.793581,4,3,10,-211,1037,8173,f
1738609390.7985952,2,1,7,-192,1051,8159,f
1738609390.803042,1,3,7,-187,1049,8167,f
1738609390.807152,1,2,7,-223,1066,8154,f
1738609390.811351,1,2,5,-185,1051,8153,f
1738609390.816274,2,2,7,-202,1031,8116,f
1738609390.8213089,1,1,8,-200,1058,8126,f
1738609390.826325,2,1,6,-187,1068,8155,f
1738609390.8308961,5,1,7,-173,1074,8158,f
1738609390.835405,2,2,6,-191,1093,8156,f
1738609390.840429,2,2,7,-155,1104,8142,f
1738609390.845443,2,2,6,-182,1091,8160,f
1738609390.850453,4,1,6,-187,1113,8188,f
1738609390.855465,1,4,5,-189,1112,8133,f
1738609390.860485,3,0,8,-211,1087,8145,f
1738609390.865186,3,1,9,-208,1109,8161,f
1738609390.8702238,3,2,7,-181,1099,8151,f
1738609390.8751402,1,2,6,-180,1070,8167,f
1738609390.879207,4,1,4,-231,1079,8168,f
1738609390.883251,0,4,7,-188,1075,8141,f
1738609390.887281,2,6,5,-202,1062,8162,f
1738609390.892302,3,2,7,-205,1042,8168,f
1738609390.897326,3,4,6,-199,1072,8186,f
1738609390.901686,4,5,4,-229,1074,8160,f
1738609390.90671,4,4,7,-198,1054,8183,f
1738609390.911166,3,4,7,-177,1046,8167,f
1738609390.915854,3,2,7,-210,1057,8154,f
1738609390.920921,3,1,7,-190,1075,8160,f
1738609390.92593,1,2,5,-189,1085,8160,f
1738609390.931113,0,3,7,-189,1076,8147,f
1738609390.9351969,2,2,7,-196,1094,8149,f
1738609390.939242,2,1,6,-171,1079,8148,f
1738609390.944261,3,3,8,-191,1097,8138,f
1738609390.949271,3,2,6,-195,1081,8138,f
1738609390.954294,0,2,5,-180,1083,8149,f
1738609390.9589639,0,2,4,-187,1067,8161,f
1738609390.963031,1,3,8,-177,1036,8145,f
1738609390.9671009,2,4,7,-168,1073,8130,f
1738609390.972126,2,3,5,-203,1209,8141,f
1738609390.977149,7,3,8,-206,898,8129,f
1738609390.982164,-1,2,5,-153,964,8198,f
1738609390.986521,-2,2,7,-191,1094,8156,f
1738609390.991148,8,3,7,-233,958,8144,f
1738609390.995182,2,2,5,-185,1042,8154,f
1738609390.999255,1,0,6,-208,1127,8125,f
1738609391.004277,2,2,5,-214,1144,8146,f
1738609391.0093,3,3,5,-207,1075,8175,f
1738609391.0143292,1,1,6,-187,1018,8142,f
1738609391.0186582,1,2,5,-172,1103,8169,f
1738609391.03526,2,2,7,-197,1018,8148,f
1738609391.045789,2,2,7,-197,1018,8148,f
1738609391.050754,0,3,4,-177,981,8157,f
1738609391.0557692,4,1,5,-187,1090,8144,f
1738609391.060792,5,1,6,-191,1027,8179,f
1738609391.0658062,4,2,5,-176,1077,8148,f
1738609391.0698318,2,2,5,-175,1101,8136,f
1738609391.074846,4,2,7,-235,1110,8169,f
1738609391.079152,1,0,7,-203,1068,8165,f
1738609391.083273,0,1,6,-209,1120,8158,f
1738609391.0873332,3,0,8,-186,1079,8154,f
1738609391.091392,1,1,5,-182,1009,8164,f
1738609391.096398,1,1,4,-168,996,8176,f
1738609391.101414,0,2,7,-178,1043,8180,f
1738609391.106409,1,1,8,-213,1082,8156,f
1738609391.111116,0,2,6,-169,1073,8138,f
1738609391.115166,2,4,7,-195,1137,8131,f
1738609391.1192598,6,1,7,-200,1126,8148,f
1738609391.1232991,4,2,6,-227,1084,8153,f
1738609391.12832,1,0,6,-183,1044,8116,f
1738609391.133353,2,2,2,-206,1126,8140,f
1738609391.1383739,3,2,5,-212,1096,8162,f
1738609391.1429691,1,2,5,-172,1025,8142,f
1738609391.147205,0,0,3,-177,1102,8148,f
1738609391.1512861,3,1,6,-196,1073,8175,f
1738609391.156298,3,0,9,-170,1027,8145,f
1738609391.1613162,1,0,9,-178,1086,8173,f
1738609391.166327,5,1,4,-195,1103,8143,f
1738609391.171159,4,0,7,-191,1044,8155,f
1738609391.175254,1,2,5,-176,1073,8142,f
1738609391.179353,2,1,9,-186,1119,8134,f
1738609391.183428,2,3,6,-194,1064,8133,f
1738609391.18845,0,2,6,-190,995,8146,f
1738609391.193473,0,3,7,-173,1048,8167,f
1738609391.198496,2,1,5,-177,1103,8154,f
1738609391.20322,6,3,6,-181,1044,8162,f
1738609391.20824,2,1,7,-207,1095,8169,f
1738609391.2132502,3,1,6,-184,1138,8167,f
1738609391.2182689,4,4,9,-204,1073,8153,f
1738609391.2232451,0,3,6,-224,1132,8148,f
1738609391.227315,4,0,4,-203,1107,8157,f
1738609391.23141,1,2,5,-171,1018,8149,f
1738609391.2357152,-1,1,7,-193,999,8168,f
1738609391.240723,0,3,7,-193,1080,8151,f
1738609391.245743,6,1,9,-202,1071,8156,f
1738609391.250192,3,3,7,-190,1025,8153,f
1738609391.255245,4,2,7,-204,1127,8143,f
1738609391.259325,4,1,7,-212,1078,8159,f
1738609391.263378,3,0,8,-225,1040,8157,f
1738609391.268397,0,3,6,-189,1081,8182,f
1738609391.2734249,3,2,6,-195,1079,8185,f
1738609391.2784472,3,3,7,-174,1031,8140,f
1738609391.283359,0,2,8,-191,1096,8170,f
1738609391.287437,4,1,8,-190,1065,8152,f
1738609391.292458,4,0,7,-199,1021,8168,f
1738609391.297478,2,1,5,-199,1082,8130,f
1738609391.3025038,4,0,5,-196,1115,8144,f
1738609391.3070989,1,2,8,-201,1026,8138,f
1738609391.311202,2,2,6,-194,1107,8146,f
1738609391.3152902,0,4,7,-241,1057,8145,f
1738609391.319509,3,2,9,-203,1014,8154,f
1738609391.324534,0,1,7,-180,1005,8167,f
1738609391.329559,0,0,5,-210,1114,8180,f
1738609391.334574,2,1,7,-210,1078,8149,f
1738609391.339583,1,1,6,-210,1115,8167,f
1738609391.344602,3,2,8,-210,1135,8159,f
1738609391.349611,4,1,9,-203,1060,8126,f
1738609391.354634,1,1,7,-168,1076,8163,f
1738609391.359645,3,1,7,-182,1074,8138,f
1738609391.364662,1,2,7,-179,994,8148,f
1738609391.369683,0,2,6,-192,1048,8170,f
1738609391.3747032,1,3,7,-200,1122,8185,f
1738609391.379712,4,2,5,-180,1101,8132,f
1738609391.384734,3,2,5,-203,1149,8158,f
1738609391.389761,4,1,8,-194,1115,8135,f
1738609391.3942158,1,1,7,-186,1006,8135,f
1738609391.3985128,0,2,3,-217,1090,8168,f
1738609391.403069,0,0,6,-195,990,8164,f
1738609391.407237,-2,3,6,-179,1019,8158,f
1738609391.411434,0,2,7,-188,1081,8171,f
1738609391.416448,3,1,9,-200,1064,8133,f
1738609391.4214709,4,1,7,-175,1009,8121,f
1738609391.426494,1,1,4,-198,1099,8163,f
1738609391.4308748,5,3,7,-200,1112,8157,f
1738609391.435274,2,4,3,-204,1079,8141,f
1738609391.4402938,1,1,10,-185,1082,8151,f
1738609391.445316,1,2,8,-194,1028,8164,f
1738609391.450326,0,1,6,-190,1006,8173,f
1738609391.455093,3,2,8,-224,1098,8186,f
1738609391.459276,5,0,7,-189,1032,8145,f
1738609391.463382,5,3,9,-191,1152,8148,f
1738609391.467571,7,4,8,-206,1153,8143,f
1738609391.4732559,5,4,7,-215,1061,8164,f
1738609391.4774241,5,4,7,-215,1061,8164,f
1738609391.483676,0,0,3,-192,1071,8146,f
1738609391.488815,0,0,3,-192,1071,8146,f
1738609391.498633,0,0,3,-192,1071,8146,f
1738609391.508116,0,4,7,-185,1113,8176,f
1738609391.512279,0,3,7,-193,1041,8150,f
1738609391.517296,0,2,5,-154,1018,8153,f
1738609391.52226,-1,3,7,-177,1090,8186,f
